,E1,v12,v13,E2,v21,v23,E3,v31,v32,G23,G31,G12,CTE_1,CTE_2,CTE_3
424,1.0096e+05,0.1583,0.3990,1.0096e+05,0.1583,0.3990,1.7064e+04,0.0674,0.0674,4.8521e+03,4.8521e+03,6.4320e+03,0.0000e+00,0.0000e+00,0.0000e+00
425,5.4384e+04,0.2226,0.6040,5.4384e+04,0.2226,0.6040,3.0732e+04,0.3413,0.3413,5.8002e+03,5.8002e+03,6.3401e+03,0.0000e+00,0.0000e+00,0.0000e+00
426,5.9996e+04,0.1307,0.3314,5.9996e+04,0.1307,0.3314,9.7651e+03,0.0539,0.0539,3.6104e+03,3.6104e+03,4.0534e+03,0.0000e+00,0.0000e+00,0.0000e+00
427,4.9724e+04,0.1848,0.4498,4.9724e+04,0.1848,0.4498,2.1388e+04,0.1935,0.1935,6.0221e+03,6.0221e+03,7.3421e+03,0.0000e+00,0.0000e+00,0.0000e+00
428,8.0835e+04,0.2234,0.5508,8.0835e+04,0.2234,0.5508,1.5890e+04,0.1083,0.1083,2.7238e+03,2.7238e+03,3.1148e+03,0.0000e+00,0.0000e+00,0.0000e+00
429,3.9722e+04,0.1210,0.3893,3.9722e+04,0.1210,0.3893,1.2322e+04,0.1208,0.1208,3.9424e+03,3.9424e+03,4.1876e+03,0.0000e+00,0.0000e+00,0.0000e+00
430,2.7498e+04,0.1152,0.3758,2.7498e+04,0.1152,0.3758,6.7001e+03,0.0916,0.0916,2.3372e+03,2.3372e+03,2.5641e+03,0.0000e+00,0.0000e+00,0.0000e+00
431,7.5451e+04,0.1654,0.5412,7.5451e+04,0.1654,0.5412,2.0716e+04,0.1486,0.1486,4.4790e+03,4.4790e+03,5.0820e+03,0.0000e+00,0.0000e+00,0.0000e+00
432,2.0636e+04,0.3031,0.5484,2.0636e+04,0.3031,0.5484,1.5489e+04,0.4116,0.4116,3.3538e+03,3.3538e+03,3.8183e+03,0.0000e+00,0.0000e+00,0.0000e+00
433,4.9907e+04,0.1306,0.4319,4.9907e+04,0.1306,0.4319,1.6725e+04,0.1447,0.1447,4.9808e+03,4.9808e+03,5.4125e+03,0.0000e+00,0.0000e+00,0.0000e+00
434,4.4901e+04,0.1474,0.4856,4.4901e+04,0.1474,0.4856,1.4368e+04,0.1554,0.1554,3.8397e+03,3.8397e+03,4.3221e+03,0.0000e+00,0.0000e+00,0.0000e+00
435,1.0850e+05,0.1241,0.3056,1.0850e+05,0.1241,0.3056,2.0587e+04,0.0580,0.0580,7.2405e+03,7.2405e+03,9.3995e+03,0.0000e+00,0.0000e+00,0.0000e+00
436,2.9785e+04,0.1333,0.3860,2.9785e+04,0.1333,0.3860,9.8491e+03,0.1276,0.1276,3.1791e+03,3.1791e+03,3.8369e+03,0.0000e+00,0.0000e+00,0.0000e+00
437,5.6314e+04,0.1744,0.6150,5.6314e+04,0.1744,0.6150,2.2120e+04,0.2416,0.2416,4.3411e+03,4.3411e+03,4.4759e+03,0.0000e+00,0.0000e+00,0.0000e+00
438,6.6661e+04,0.1767,0.4817,6.6661e+04,0.1767,0.4817,1.1691e+04,0.0845,0.0845,3.0081e+03,3.0081e+03,3.3760e+03,0.0000e+00,0.0000e+00,0.0000e+00
439,6.6951e+04,0.2234,0.6399,6.6951e+04,0.2234,0.6399,4.1618e+04,0.3978,0.3978,5.3731e+03,5.3731e+03,5.8818e+03,0.0000e+00,0.0000e+00,0.0000e+00
440,7.3744e+04,0.2071,0.4987,7.3744e+04,0.2071,0.4987,1.4361e+04,0.0971,0.0971,2.5621e+03,2.5621e+03,3.1845e+03,0.0000e+00,0.0000e+00,0.0000e+00
441,3.1130e+04,0.1342,0.3736,3.1130e+04,0.1342,0.3736,1.1778e+04,0.1414,0.1414,4.0542e+03,4.0542e+03,4.5327e+03,0.0000e+00,0.0000e+00,0.0000e+00
442,6.0812e+04,0.1979,0.6050,6.0812e+04,0.1979,0.6050,1.8173e+04,0.1808,0.1808,2.5474e+03,2.5474e+03,2.6843e+03,0.0000e+00,0.0000e+00,0.0000e+00
443,5.4065e+04,0.1426,0.4132,5.4065e+04,0.1426,0.4132,1.7013e+04,0.1300,0.1300,5.1684e+03,5.1684e+03,6.4474e+03,0.0000e+00,0.0000e+00,0.0000e+00
444,5.9801e+04,0.1344,0.3685,5.9801e+04,0.1344,0.3685,1.1364e+04,0.0700,0.0700,3.9356e+03,3.9356e+03,4.6211e+03,0.0000e+00,0.0000e+00,0.0000e+00
445,1.8327e+04,0.2704,0.4398,1.8327e+04,0.2704,0.4398,1.3476e+04,0.3234,0.3234,4.3123e+03,4.3123e+03,4.5930e+03,0.0000e+00,0.0000e+00,0.0000e+00
446,3.6637e+04,0.1224,0.3570,3.6637e+04,0.1224,0.3570,9.1167e+03,0.0888,0.0888,2.9623e+03,2.9623e+03,3.3286e+03,0.0000e+00,0.0000e+00,0.0000e+00
447,8.9904e+04,0.1513,0.5060,8.9904e+04,0.1513,0.5060,2.3015e+04,0.1295,0.1295,5.2810e+03,5.2810e+03,6.0237e+03,0.0000e+00,0.0000e+00,0.0000e+00
448,3.6858e+04,0.1771,0.5895,3.6858e+04,0.1771,0.5895,1.5753e+04,0.2519,0.2519,2.5095e+03,2.5095e+03,2.9588e+03,0.0000e+00,0.0000e+00,0.0000e+00
449,5.6479e+04,0.1376,0.4432,5.6479e+04,0.1376,0.4432,1.3303e+04,0.1044,0.1044,4.0048e+03,4.0048e+03,4.3498e+03,0.0000e+00,0.0000e+00,0.0000e+00
450,3.5459e+04,0.1603,0.5712,3.5459e+04,0.1603,0.5712,1.2579e+04,0.2026,0.2026,2.5923e+03,2.5923e+03,2.7794e+03,0.0000e+00,0.0000e+00,0.0000e+00
451,9.7783e+04,0.1503,0.3950,9.7783e+04,0.1503,0.3950,1.7708e+04,0.0715,0.0715,5.6173e+03,5.6173e+03,7.1556e+03,0.0000e+00,0.0000e+00,0.0000e+00
452,2.6675e+04,0.1790,0.4293,2.6675e+04,0.1790,0.4293,1.2700e+04,0.2044,0.2044,3.7910e+03,3.7910e+03,4.4451e+03,0.0000e+00,0.0000e+00,0.0000e+00
453,6.0740e+04,0.2150,0.6815,6.0740e+04,0.2150,0.6815,3.7437e+04,0.4201,0.4201,5.1778e+03,5.1778e+03,5.2313e+03,0.0000e+00,0.0000e+00,0.0000e+00
454,5.3754e+04,0.1609,0.4183,5.3754e+04,0.1609,0.4183,7.7010e+03,0.0599,0.0599,2.4990e+03,2.4990e+03,2.7793e+03,0.0000e+00,0.0000e+00,0.0000e+00
455,4.4595e+04,0.1922,0.5624,4.4595e+04,0.1922,0.5624,2.2123e+04,0.2790,0.2790,4.5452e+03,4.5452e+03,5.1636e+03,0.0000e+00,0.0000e+00,0.0000e+00
456,7.4063e+04,0.1630,0.4617,7.4063e+04,0.1630,0.4617,1.7424e+04,0.1086,0.1086,4.2123e+03,4.2123e+03,5.4985e+03,0.0000e+00,0.0000e+00,0.0000e+00
457,2.7124e+04,0.1466,0.2930,2.7124e+04,0.1466,0.2930,1.4379e+04,0.1553,0.1553,5.4331e+03,5.4331e+03,6.0983e+03,0.0000e+00,0.0000e+00,0.0000e+00
458,7.4762e+04,0.1951,0.6686,7.4762e+04,0.1951,0.6686,3.0325e+04,0.2712,0.2712,3.8307e+03,3.8307e+03,3.9585e+03,0.0000e+00,0.0000e+00,0.0000e+00
459,6.6261e+04,0.1415,0.4143,6.6261e+04,0.1415,0.4143,2.2728e+04,0.1421,0.1421,6.6745e+03,6.6745e+03,8.3831e+03,0.0000e+00,0.0000e+00,0.0000e+00
460,6.2969e+04,0.1460,0.3668,6.2969e+04,0.1460,0.3668,9.9707e+03,0.0581,0.0581,3.2911e+03,3.2911e+03,3.9577e+03,0.0000e+00,0.0000e+00,0.0000e+00
461,2.3917e+04,0.2288,0.5016,2.3917e+04,0.2288,0.5016,1.4515e+04,0.3044,0.3044,4.0836e+03,4.0836e+03,4.3585e+03,0.0000e+00,0.0000e+00,0.0000e+00
462,1.2758e+04,0.2738,0.5254,1.2758e+04,0.2738,0.5254,8.6429e+03,0.3559,0.3559,2.2251e+03,2.2251e+03,2.4152e+03,0.0000e+00,0.0000e+00,0.0000e+00
463,6.8837e+04,0.1266,0.3890,6.8837e+04,0.1266,0.3890,1.6332e+04,0.0923,0.0923,5.2287e+03,5.2287e+03,6.2843e+03,0.0000e+00,0.0000e+00,0.0000e+00
464,5.4286e+04,0.1098,0.2956,5.4286e+04,0.1098,0.2956,1.2968e+04,0.0706,0.0706,4.6897e+03,4.6897e+03,6.0368e+03,0.0000e+00,0.0000e+00,0.0000e+00
465,7.9492e+04,0.1448,0.4879,7.9492e+04,0.1448,0.4879,2.1754e+04,0.1335,0.1335,5.6803e+03,5.6803e+03,6.3295e+03,0.0000e+00,0.0000e+00,0.0000e+00
466,3.2173e+04,0.1322,0.4102,3.2173e+04,0.1322,0.4102,1.1109e+04,0.1416,0.1416,3.3799e+03,3.3799e+03,3.7793e+03,0.0000e+00,0.0000e+00,0.0000e+00
467,1.0757e+05,0.2043,0.5776,1.0757e+05,0.2043,0.5776,4.6311e+04,0.2487,0.2487,6.3543e+03,6.3543e+03,7.8163e+03,0.0000e+00,0.0000e+00,0.0000e+00
468,5.0396e+04,0.1748,0.5218,5.0396e+04,0.1748,0.5218,1.1612e+04,0.1202,0.1202,2.5504e+03,2.5504e+03,2.9907e+03,0.0000e+00,0.0000e+00,0.0000e+00
469,7.4170e+04,0.1386,0.3694,7.4170e+04,0.1386,0.3694,1.2664e+04,0.0631,0.0631,4.2870e+03,4.2870e+03,4.7460e+03,0.0000e+00,0.0000e+00,0.0000e+00
470,5.0839e+04,0.1471,0.5094,5.0839e+04,0.1471,0.5094,1.3315e+04,0.1334,0.1334,3.2642e+03,3.2642e+03,3.5102e+03,0.0000e+00,0.0000e+00,0.0000e+00
471,3.1369e+04,0.1586,0.3277,3.1369e+04,0.1586,0.3277,1.4807e+04,0.1547,0.1547,5.6293e+03,5.6293e+03,6.5404e+03,0.0000e+00,0.0000e+00,0.0000e+00
